pseg_id,species_id,abundance
1535,115,0.6667
1536,8,0.6667
1536,52,0.6667
1536,92,0.6667
1536,115,1.3333
1536,122,0.6667
1536,148,0.6667
1536,280,0.6667
1537,43,0.6667
1537,52,0.6667
1537,54,0.6667
1537,84,0.6667
1537,111,0.6667
1537,115,4
1537,119,0.6667
1537,140,2
1537,148,1.3333
1538,8,0.6667
1538,41,0.6667
1538,43,4.6667
1538,52,3.3333
1538,54,3.3333
1538,69,0.6667
1538,73,0.6667
1538,84,0.6667
1538,87,0.6667
1538,96,4.6667
1538,108,1.3333
1538,111,1.3333
1538,115,11.3333
1538,117,0.6667
1538,119,4
1538,140,0.6667
1538,148,1.3333
1538,152,0.6667
1539,41,1.3333
1539,52,0.6667
1539,96,0.6667
1539,115,4.6667
1539,117,0.6667
1539,119,0.6667
1539,148,1.3333
1539,279,0.6667
1540,52,2
1540,64,0.6667
1540,69,0.6667
1540,113,0.6667
1540,115,6
1540,148,1.3333
1541,8,0.6667
1541,52,1.3333
1541,54,0.6667
1541,64,0.6667
1541,69,0.6667
1541,87,0.6667
1541,111,0.6667
1541,115,2
1541,136,0.6667
1541,140,0.6667
1541,143,0.6667
1541,148,2.6667
1542,8,0.6667
1542,137,0.6667
1542,140,2
1543,8,0.6667
1543,52,1.3333
1543,111,1.3333
1543,115,2.6667
1543,119,0.6667
1543,140,1.3333
1543,143,0.6667
1543,148,6
1544,52,1.3333
1544,54,1.3333
1544,75,0.6667
1544,84,1.3333
1544,87,0.6667
1544,111,1.3333
1544,115,2.6667
1544,119,0.6667
1544,140,2
1544,143,0.6667
1544,148,5.3333
1544,277,0.6667
1545,8,0.6667
1545,111,0.6667
1545,115,4
1545,148,0.6667
1546,43,0.6667
1546,52,2
1546,54,1.3333
1546,84,2.6667
1546,111,2
1546,113,0.6667
1546,115,6.6667
1546,117,1.3333
1546,125,0.6667
1546,137,1.3333
1546,141,0.6667
1546,143,3.3333
1546,148,0.6667
1546,228,0.6667
1546,290,0.6667
1547,8,1.3333
1547,52,0.6667
1547,84,2.6667
1547,85,1.3333
1547,111,0.6667
1547,115,4
1547,119,2
1547,140,2
1547,143,1.3333
1548,119,0.6667
1550,119,0.6667
1551,115,0.6667
1551,139,0.6667
1551,140,0.6667
1551,152,1.3333
1552,125,0.6667
1552,148,6.6667
1553,35,0.6667
1553,111,0.6667
1553,115,2
1553,119,0.6667
1553,148,0.6667
1553,152,1.3333
1553,277,0.6667
1554,52,0.6667
1554,54,1.3333
1554,115,2
1554,119,0.6667
1554,137,0.6667
1554,148,2
1555,84,0.6667
1555,111,0.6667
1555,115,1.3333
1555,277,0.6667
1556,84,1.3333
1556,87,0.6667
1556,96,0.6667
1556,103,0.6667
1556,111,0.6667
1556,115,0.6667
1556,119,1.3333
1556,148,2
1557,8,2
1557,92,0.6667
1557,115,0.6667
1557,119,2
1557,148,0.6667
1558,2,0.6667
1558,84,0.6667
1558,119,0.6667
1559,2,0.6667
1559,52,1.3333
1559,54,2.6667
1559,71,0.6667
1559,96,0.6667
1559,111,0.6667
1559,115,2
1559,117,1.3333
1559,119,6.6667
1559,130,1.3333
1559,143,2
1559,148,1.3333
1560,111,1.3333
1560,125,0.6667
1560,148,9.3333
1561,79,0.6667
1561,103,0.6667
1561,125,0.6667
1561,148,2.6667
1562,2,0.6667
1562,148,5.3333
1563,115,0.6667
1563,148,3.3333
1564,8,2.6667
1564,79,0.6667
1564,115,0.6667
1564,148,2.6667
1565,8,3.3333
1565,52,1.3333
1565,54,2
1565,103,2
1565,115,0.6667
1565,119,5.3333
1565,148,2.6667
1566,8,2
1566,52,1.3333
1566,96,0.6667
1566,103,1.3333
1566,111,0.6667
1566,117,0.6667
1566,119,4.6667
1566,148,1.3333
1567,54,0.6667
1567,119,2.6667
1567,148,4
1568,103,0.6667
1568,152,0.6667
1569,92,0.6667
1569,103,4
1569,280,0.6667
1570,8,4
1570,54,0.6667
1570,119,0.6667
1571,2,0.6667
1571,8,0.6667
1571,54,1.3333
1571,84,0.6667
1571,96,1.3333
1571,119,0.6667
1572,4,1.3333
1572,8,6.6667
1572,39,1.3333
1572,54,1.3333
1572,87,0.6667
1572,119,0.6667
1572,280,0.6667
1572,317,0.6667
1573,8,2.6667
1573,10,0.6667
1573,52,0.6667
1573,54,2.6667
1573,119,1.3333
1573,280,2.6667
1723,115,0.6667
1748,92,0.6667
1748,108,1.3333
1748,115,0.6667
1748,148,0.6667
1749,35,0.6667
1749,87,0.6667
1749,103,0.6667
1749,115,0.6667
1750,2,1.3333
1750,35,0.6667
1750,69,0.6667
1750,96,0.6667
1750,115,1.3333
1750,119,3.3333
1750,139,0.6667
1750,141,0.6667
1750,148,4.6667
1750,152,0.6667
1750,340,1.3333
1750,384,0.6667
1751,2,2
1751,35,2
1751,37,0.6667
1751,41,0.6667
1751,54,3.3333
1751,69,0.6667
1751,73,2
1751,96,3.3333
1751,111,2
1751,115,2
1751,119,3.3333
1751,125,0.6667
1751,140,1.3333
1751,148,6
1751,320,0.6667
1751,340,2
1752,96,2.6667
1752,103,1.3333
1752,108,2
1752,115,4.6667
1752,119,1.3333
1752,130,0.6667
1752,148,12.6667
1752,330,0.6667
1752,495,0.6667
1753,2,2.6667
1753,35,1.3333
1753,43,0.6667
1753,69,0.6667
1753,71,0.6667
1753,84,1.3333
1753,92,0.6667
1753,94,0.6667
1753,111,2
1753,115,4
1753,119,1.3333
1753,148,16.6667
1753,277,1.3333
1753,495,0.6667
1759,52,0.6667
1759,92,0.6667
1759,103,1.3333
1759,115,3.3333
1759,119,0.6667
1759,148,7.3333
1759,500,0.6667
1760,2,2.6667
1760,71,0.6667
1760,73,1.3333
1760,84,1.3333
1760,92,0.6667
1760,96,1.3333
1760,108,1.3333
1760,113,1.3333
1760,115,4.6667
1760,119,0.6667
1760,148,4.6667
1760,277,0.6667
1765,2,2
1765,103,4
1765,115,4
1765,141,0.6667
1765,148,2
1765,330,0.6667
1765,339,0.6667
1891,8,1.3333
1891,108,0.6667
1891,111,0.6667
1891,119,0.6667
1891,148,0.6667
1892,8,0.6667
1892,52,0.6667
1892,71,0.6667
1892,79,0.6667
1892,92,0.6667
1892,111,2
1892,115,0.6667
1892,148,2.6667
1893,8,1.3333
1893,54,0.6667
1893,71,0.6667
1893,108,0.6667
1893,111,0.6667
1893,115,3.3333
1893,119,0.6667
1893,148,4
1894,108,0.6667
1894,111,5.3333
1894,115,8.6667
1894,148,4
1895,111,1.3333
