rec_id,site_id,sst_date,sst
1,1,2006-07-16 00:00:00,16.27
2,2,2006-07-16 00:00:00,16.83
3,3,2006-07-16 00:00:00,17.37
4,4,2006-07-16 00:00:00,18.02
5,5,2006-07-16 00:00:00,18.26
6,6,2006-07-16 00:00:00,18.59
7,7,2006-07-16 00:00:00,18.72
8,8,2006-07-16 00:00:00,19.14
9,9,2006-07-16 00:00:00,19.47
10,10,2006-07-16 00:00:00,19.98
11,11,2006-07-16 00:00:00,20.57
12,12,2006-07-16 00:00:00,20.80
13,13,2006-07-16 00:00:00,21.12
14,14,2006-07-16 00:00:00,21.39
15,15,2006-07-16 00:00:00,21.40
16,16,2006-07-16 00:00:00,21.40
17,17,2006-07-16 00:00:00,21.44
18,18,2006-07-16 00:00:00,21.41
19,19,2006-07-16 00:00:00,21.67
20,20,2006-07-16 00:00:00,21.80
21,21,2006-07-16 00:00:00,21.92
22,22,2006-07-16 00:00:00,21.71
23,1,2006-08-16 00:00:00,15.34
24,2,2006-08-16 00:00:00,16.82
25,3,2006-08-16 00:00:00,17.09
26,4,2006-08-16 00:00:00,16.83
27,5,2006-08-16 00:00:00,17.52
28,6,2006-08-16 00:00:00,18.01
29,7,2006-08-16 00:00:00,19.08
30,8,2006-08-16 00:00:00,19.65
31,9,2006-08-16 00:00:00,19.78
32,10,2006-08-16 00:00:00,19.75
33,11,2006-08-16 00:00:00,20.21
34,12,2006-08-16 00:00:00,20.52
35,13,2006-08-16 00:00:00,20.77
36,14,2006-08-16 00:00:00,21.09
37,15,2006-08-16 00:00:00,21.07
38,16,2006-08-16 00:00:00,21.06
39,17,2006-08-16 00:00:00,20.96
40,18,2006-08-16 00:00:00,20.90
41,19,2006-08-16 00:00:00,21.21
42,20,2006-08-16 00:00:00,21.27
43,21,2006-08-16 00:00:00,21.54
44,22,2006-08-16 00:00:00,21.31
45,1,2006-09-16 00:00:00,15.70
46,2,2006-09-16 00:00:00,16.45
47,3,2006-09-16 00:00:00,16.61
48,4,2006-09-16 00:00:00,17.69
49,5,2006-09-16 00:00:00,18.88
50,6,2006-09-16 00:00:00,19.21
51,7,2006-09-16 00:00:00,19.27
52,8,2006-09-16 00:00:00,19.61
53,9,2006-09-16 00:00:00,19.83
54,10,2006-09-16 00:00:00,19.75
55,11,2006-09-16 00:00:00,19.99
56,12,2006-09-16 00:00:00,20.00
57,13,2006-09-16 00:00:00,20.24
58,14,2006-09-16 00:00:00,20.78
59,15,2006-09-16 00:00:00,20.72
60,16,2006-09-16 00:00:00,20.64
61,17,2006-09-16 00:00:00,20.56
62,18,2006-09-16 00:00:00,20.67
63,19,2006-09-16 00:00:00,21.06
64,20,2006-09-16 00:00:00,21.15
65,21,2006-09-16 00:00:00,21.29
66,22,2006-09-16 00:00:00,21.23
67,1,2006-10-16 00:00:00,16.32
68,2,2006-10-16 00:00:00,17.35
69,3,2006-10-16 00:00:00,17.38
70,4,2006-10-16 00:00:00,18.64
71,5,2006-10-16 00:00:00,19.30
72,6,2006-10-16 00:00:00,19.93
73,7,2006-10-16 00:00:00,19.86
74,8,2006-10-16 00:00:00,20.17
75,9,2006-10-16 00:00:00,20.21
76,10,2006-10-16 00:00:00,20.00
77,11,2006-10-16 00:00:00,20.13
78,12,2006-10-16 00:00:00,20.67
79,13,2006-10-16 00:00:00,21.26
80,14,2006-10-16 00:00:00,21.61
81,15,2006-10-16 00:00:00,21.47
82,16,2006-10-16 00:00:00,21.41
83,17,2006-10-16 00:00:00,21.41
84,18,2006-10-16 00:00:00,21.49
85,19,2006-10-16 00:00:00,22.14
86,20,2006-10-16 00:00:00,22.15
87,21,2006-10-16 00:00:00,22.34
88,22,2006-10-16 00:00:00,22.24
89,1,2006-11-16 00:00:00,17.36
90,2,2006-11-16 00:00:00,18.38
91,3,2006-11-16 00:00:00,18.53
92,4,2006-11-16 00:00:00,18.54
93,5,2006-11-16 00:00:00,18.56
94,6,2006-11-16 00:00:00,18.86
95,7,2006-11-16 00:00:00,19.01
96,8,2006-11-16 00:00:00,19.57
97,9,2006-11-16 00:00:00,20.17
98,10,2006-11-16 00:00:00,20.38
99,11,2006-11-16 00:00:00,20.64
100,12,2006-11-16 00:00:00,21.36
101,13,2006-11-16 00:00:00,21.76
102,14,2006-11-16 00:00:00,22.27
103,15,2006-11-16 00:00:00,22.22
104,16,2006-11-16 00:00:00,22.35
105,17,2006-11-16 00:00:00,22.23
106,18,2006-11-16 00:00:00,22.43
107,19,2006-11-16 00:00:00,23.07
108,20,2006-11-16 00:00:00,23.18
109,21,2006-11-16 00:00:00,23.18
110,22,2006-11-16 00:00:00,23.11
111,1,2006-12-16 00:00:00,18.59
112,2,2006-12-16 00:00:00,19.08
113,3,2006-12-16 00:00:00,19.35
114,4,2006-12-16 00:00:00,19.71
115,5,2006-12-16 00:00:00,20.06
116,6,2006-12-16 00:00:00,20.58
117,7,2006-12-16 00:00:00,20.86
118,8,2006-12-16 00:00:00,21.37
119,9,2006-12-16 00:00:00,21.68
120,10,2006-12-16 00:00:00,21.77
121,11,2006-12-16 00:00:00,22.40
122,12,2006-12-16 00:00:00,23.13
123,13,2006-12-16 00:00:00,23.57
124,14,2006-12-16 00:00:00,23.85
125,15,2006-12-16 00:00:00,23.88
126,16,2006-12-16 00:00:00,23.92
127,17,2006-12-16 00:00:00,23.69
128,18,2006-12-16 00:00:00,23.72
129,19,2006-12-16 00:00:00,24.13
130,20,2006-12-16 00:00:00,24.35
131,21,2006-12-16 00:00:00,24.38
132,22,2006-12-16 00:00:00,24.12
133,1,2007-01-16 00:00:00,19.32
134,2,2007-01-16 00:00:00,20.38
135,3,2007-01-16 00:00:00,21.30
136,4,2007-01-16 00:00:00,21.74
137,5,2007-01-16 00:00:00,21.85
138,6,2007-01-16 00:00:00,22.34
139,7,2007-01-16 00:00:00,22.31
140,8,2007-01-16 00:00:00,22.76
141,9,2007-01-16 00:00:00,23.02
142,10,2007-01-16 00:00:00,23.14
143,11,2007-01-16 00:00:00,23.37
144,12,2007-01-16 00:00:00,23.65
145,13,2007-01-16 00:00:00,24.49
146,14,2007-01-16 00:00:00,24.89
147,15,2007-01-16 00:00:00,25.03
148,16,2007-01-16 00:00:00,25.03
149,17,2007-01-16 00:00:00,25.06
150,18,2007-01-16 00:00:00,25.22
151,19,2007-01-16 00:00:00,25.51
152,20,2007-01-16 00:00:00,25.54
153,21,2007-01-16 00:00:00,25.90
154,22,2007-01-16 00:00:00,26.01
155,1,2007-02-15 00:00:00,21.26
156,2,2007-02-15 00:00:00,22.82
157,3,2007-02-15 00:00:00,23.47
158,4,2007-02-15 00:00:00,23.85
159,5,2007-02-15 00:00:00,24.00
160,6,2007-02-15 00:00:00,23.83
161,7,2007-02-15 00:00:00,23.54
162,8,2007-02-15 00:00:00,23.39
163,9,2007-02-15 00:00:00,23.22
164,10,2007-02-15 00:00:00,23.56
165,11,2007-02-15 00:00:00,23.98
166,12,2007-02-15 00:00:00,25.02
167,13,2007-02-15 00:00:00,25.68
168,14,2007-02-15 00:00:00,26.09
169,15,2007-02-15 00:00:00,26.02
170,16,2007-02-15 00:00:00,26.04
171,17,2007-02-15 00:00:00,26.07
172,18,2007-02-15 00:00:00,26.21
173,19,2007-02-15 00:00:00,26.18
174,20,2007-02-15 00:00:00,26.35
175,21,2007-02-15 00:00:00,26.53
176,22,2007-02-15 00:00:00,26.51
177,1,2007-03-16 00:00:00,22.05
178,2,2007-03-16 00:00:00,23.48
179,3,2007-03-16 00:00:00,23.83
180,4,2007-03-16 00:00:00,23.73
181,5,2007-03-16 00:00:00,23.39
182,6,2007-03-16 00:00:00,23.17
183,7,2007-03-16 00:00:00,23.09
184,8,2007-03-16 00:00:00,23.25
185,9,2007-03-16 00:00:00,23.31
186,10,2007-03-16 00:00:00,23.74
187,11,2007-03-16 00:00:00,24.49
188,12,2007-03-16 00:00:00,24.75
189,13,2007-03-16 00:00:00,25.00
190,14,2007-03-16 00:00:00,25.29
191,15,2007-03-16 00:00:00,25.67
192,16,2007-03-16 00:00:00,25.84
193,17,2007-03-16 00:00:00,26.00
194,18,2007-03-16 00:00:00,26.10
195,19,2007-03-16 00:00:00,26.29
196,20,2007-03-16 00:00:00,26.34
197,21,2007-03-16 00:00:00,26.46
198,22,2007-03-16 00:00:00,26.37
199,1,2007-04-16 00:00:00,20.44
200,2,2007-04-16 00:00:00,21.04
201,3,2007-04-16 00:00:00,21.64
202,4,2007-04-16 00:00:00,22.09
203,5,2007-04-16 00:00:00,22.20
204,6,2007-04-16 00:00:00,22.38
205,7,2007-04-16 00:00:00,22.52
206,8,2007-04-16 00:00:00,22.78
207,9,2007-04-16 00:00:00,22.93
208,10,2007-04-16 00:00:00,23.11
209,11,2007-04-16 00:00:00,23.41
210,12,2007-04-16 00:00:00,23.65
211,13,2007-04-16 00:00:00,23.96
212,14,2007-04-16 00:00:00,24.17
213,15,2007-04-16 00:00:00,24.32
214,16,2007-04-16 00:00:00,24.60
215,17,2007-04-16 00:00:00,24.71
216,18,2007-04-16 00:00:00,24.92
217,19,2007-04-16 00:00:00,25.07
218,20,2007-04-16 00:00:00,25.15
219,21,2007-04-16 00:00:00,25.19
220,22,2007-04-16 00:00:00,25.14
221,1,2007-05-16 00:00:00,18.51
222,2,2007-05-16 00:00:00,19.32
223,3,2007-05-16 00:00:00,20.04
224,4,2007-05-16 00:00:00,20.42
225,5,2007-05-16 00:00:00,20.72
226,6,2007-05-16 00:00:00,21.05
227,7,2007-05-16 00:00:00,21.32
228,8,2007-05-16 00:00:00,21.59
229,9,2007-05-16 00:00:00,21.85
230,10,2007-05-16 00:00:00,21.83
231,11,2007-05-16 00:00:00,21.83
232,12,2007-05-16 00:00:00,22.28
233,13,2007-05-16 00:00:00,22.87
234,14,2007-05-16 00:00:00,23.38
235,15,2007-05-16 00:00:00,23.48
236,16,2007-05-16 00:00:00,23.50
237,17,2007-05-16 00:00:00,23.64
238,18,2007-05-16 00:00:00,23.79
239,19,2007-05-16 00:00:00,23.81
240,20,2007-05-16 00:00:00,23.88
241,21,2007-05-16 00:00:00,24.06
242,22,2007-05-16 00:00:00,23.92
243,1,2007-06-16 00:00:00,17.44
244,2,2007-06-16 00:00:00,18.05
245,3,2007-06-16 00:00:00,18.25
246,4,2007-06-16 00:00:00,18.48
247,5,2007-06-16 00:00:00,18.90
248,6,2007-06-16 00:00:00,19.21
249,7,2007-06-16 00:00:00,19.25
250,8,2007-06-16 00:00:00,19.48
251,9,2007-06-16 00:00:00,19.81
252,10,2007-06-16 00:00:00,20.20
253,11,2007-06-16 00:00:00,20.70
254,12,2007-06-16 00:00:00,21.37
255,13,2007-06-16 00:00:00,21.89
256,14,2007-06-16 00:00:00,22.11
257,15,2007-06-16 00:00:00,21.90
258,16,2007-06-16 00:00:00,21.93
259,17,2007-06-16 00:00:00,21.98
260,18,2007-06-16 00:00:00,22.51
261,19,2007-06-16 00:00:00,23.06
262,20,2007-06-16 00:00:00,23.00
263,21,2007-06-16 00:00:00,23.08
264,22,2007-06-16 00:00:00,22.86
265,1,2007-07-16 00:00:00,15.59
266,2,2007-07-16 00:00:00,15.99
267,3,2007-07-16 00:00:00,16.12
268,4,2007-07-16 00:00:00,16.32
269,5,2007-07-16 00:00:00,16.62
270,6,2007-07-16 00:00:00,17.17
271,7,2007-07-16 00:00:00,17.39
272,8,2007-07-16 00:00:00,17.73
273,9,2007-07-16 00:00:00,17.71
274,10,2007-07-16 00:00:00,18.00
275,11,2007-07-16 00:00:00,19.05
276,12,2007-07-16 00:00:00,19.51
277,13,2007-07-16 00:00:00,19.68
278,14,2007-07-16 00:00:00,19.87
279,15,2007-07-16 00:00:00,19.96
280,16,2007-07-16 00:00:00,20.19
281,17,2007-07-16 00:00:00,20.37
282,18,2007-07-16 00:00:00,20.55
283,19,2007-07-16 00:00:00,20.85
284,20,2007-07-16 00:00:00,20.83
285,21,2007-07-16 00:00:00,20.82
286,22,2007-07-16 00:00:00,20.65
287,1,2007-08-16 00:00:00,14.93
288,2,2007-08-16 00:00:00,15.77
289,3,2007-08-16 00:00:00,16.01
290,4,2007-08-16 00:00:00,16.03
291,5,2007-08-16 00:00:00,16.13
292,6,2007-08-16 00:00:00,16.78
293,7,2007-08-16 00:00:00,17.55
294,8,2007-08-16 00:00:00,17.67
295,9,2007-08-16 00:00:00,18.06
296,10,2007-08-16 00:00:00,18.51
297,11,2007-08-16 00:00:00,18.78
298,12,2007-08-16 00:00:00,19.13
299,13,2007-08-16 00:00:00,19.34
300,14,2007-08-16 00:00:00,19.72
301,15,2007-08-16 00:00:00,20.00
302,16,2007-08-16 00:00:00,19.98
303,17,2007-08-16 00:00:00,19.97
304,18,2007-08-16 00:00:00,20.29
305,19,2007-08-16 00:00:00,20.27
306,20,2007-08-16 00:00:00,20.45
307,21,2007-08-16 00:00:00,20.80
308,22,2007-08-16 00:00:00,20.30
309,1,2007-09-16 00:00:00,14.87
310,2,2007-09-16 00:00:00,15.58
311,3,2007-09-16 00:00:00,15.95
312,4,2007-09-16 00:00:00,15.94
313,5,2007-09-16 00:00:00,17.11
314,6,2007-09-16 00:00:00,17.81
315,7,2007-09-16 00:00:00,18.05
316,8,2007-09-16 00:00:00,18.47
317,9,2007-09-16 00:00:00,18.69
318,10,2007-09-16 00:00:00,18.96
319,11,2007-09-16 00:00:00,19.12
320,12,2007-09-16 00:00:00,19.59
321,13,2007-09-16 00:00:00,20.02
322,14,2007-09-16 00:00:00,20.37
323,15,2007-09-16 00:00:00,20.45
324,16,2007-09-16 00:00:00,20.55
325,17,2007-09-16 00:00:00,20.64
326,18,2007-09-16 00:00:00,21.02
327,19,2007-09-16 00:00:00,21.40
328,20,2007-09-16 00:00:00,21.41
329,21,2007-09-16 00:00:00,21.78
330,22,2007-09-16 00:00:00,21.50
331,1,2007-10-16 00:00:00,15.58
332,2,2007-10-16 00:00:00,16.90
333,3,2007-10-16 00:00:00,17.35
334,4,2007-10-16 00:00:00,17.44
335,5,2007-10-16 00:00:00,17.68
336,6,2007-10-16 00:00:00,18.82
337,7,2007-10-16 00:00:00,18.94
338,8,2007-10-16 00:00:00,19.02
339,9,2007-10-16 00:00:00,19.36
340,10,2007-10-16 00:00:00,20.27
341,11,2007-10-16 00:00:00,20.56
342,12,2007-10-16 00:00:00,20.60
343,13,2007-10-16 00:00:00,20.86
344,14,2007-10-16 00:00:00,21.05
345,15,2007-10-16 00:00:00,21.07
346,16,2007-10-16 00:00:00,21.18
347,17,2007-10-16 00:00:00,21.27
348,18,2007-10-16 00:00:00,21.40
349,19,2007-10-16 00:00:00,21.88
350,20,2007-10-16 00:00:00,22.05
351,21,2007-10-16 00:00:00,22.40
352,22,2007-10-16 00:00:00,22.15
353,1,2007-11-16 00:00:00,17.88
354,2,2007-11-16 00:00:00,18.62
355,3,2007-11-16 00:00:00,18.89
356,4,2007-11-16 00:00:00,19.14
357,5,2007-11-16 00:00:00,19.29
358,6,2007-11-16 00:00:00,19.62
359,7,2007-11-16 00:00:00,19.73
360,8,2007-11-16 00:00:00,20.18
361,9,2007-11-16 00:00:00,20.39
362,10,2007-11-16 00:00:00,20.37
363,11,2007-11-16 00:00:00,21.29
364,12,2007-11-16 00:00:00,22.17
365,13,2007-11-16 00:00:00,22.46
366,14,2007-11-16 00:00:00,22.58
367,15,2007-11-16 00:00:00,22.44
368,16,2007-11-16 00:00:00,22.39
369,17,2007-11-16 00:00:00,22.44
370,18,2007-11-16 00:00:00,22.51
371,19,2007-11-16 00:00:00,23.33
372,20,2007-11-16 00:00:00,23.54
373,21,2007-11-16 00:00:00,23.96
374,22,2007-11-16 00:00:00,23.56
375,1,2007-12-16 00:00:00,19.24
376,2,2007-12-16 00:00:00,20.50
377,3,2007-12-16 00:00:00,21.55
378,4,2007-12-16 00:00:00,21.69
379,5,2007-12-16 00:00:00,21.64
380,6,2007-12-16 00:00:00,21.28
381,7,2007-12-16 00:00:00,20.92
382,8,2007-12-16 00:00:00,21.10
383,9,2007-12-16 00:00:00,21.80
384,10,2007-12-16 00:00:00,22.68
385,11,2007-12-16 00:00:00,23.62
386,12,2007-12-16 00:00:00,23.62
387,13,2007-12-16 00:00:00,23.21
388,14,2007-12-16 00:00:00,23.37
389,15,2007-12-16 00:00:00,23.69
390,16,2007-12-16 00:00:00,24.19
391,17,2007-12-16 00:00:00,24.17
392,18,2007-12-16 00:00:00,24.49
393,19,2007-12-16 00:00:00,24.99
394,20,2007-12-16 00:00:00,24.94
395,21,2007-12-16 00:00:00,24.89
396,22,2007-12-16 00:00:00,24.84
397,1,2008-01-16 00:00:00,20.46
398,2,2008-01-16 00:00:00,22.00
399,3,2008-01-16 00:00:00,22.43
400,4,2008-01-16 00:00:00,22.49
401,5,2008-01-16 00:00:00,22.56
402,6,2008-01-16 00:00:00,22.66
403,7,2008-01-16 00:00:00,22.79
404,8,2008-01-16 00:00:00,23.11
405,9,2008-01-16 00:00:00,23.34
406,10,2008-01-16 00:00:00,23.43
407,11,2008-01-16 00:00:00,23.67
408,12,2008-01-16 00:00:00,24.19
409,13,2008-01-16 00:00:00,24.49
410,14,2008-01-16 00:00:00,25.18
411,15,2008-01-16 00:00:00,25.30
412,16,2008-01-16 00:00:00,25.30
413,17,2008-01-16 00:00:00,25.37
414,18,2008-01-16 00:00:00,25.54
415,19,2008-01-16 00:00:00,25.69
416,20,2008-01-16 00:00:00,25.69
