species_id,species_name
2,Acartia danae
4,Acartia negligens
6,Acartia pacifica
8,Acartia tranteri
10,Acrocalanus gibber
12,Acrocalanus gracilis
14,Acrocalanus longicornis
16,Acrocalanus monachus
18,Bestiolina similis
22,Calanoides carinatus
24,Calanopia elliptica
25,Calanopia minor
27,Calocalanus pavo
29,Calocalanus plumulosus
31,Candacia bipinnata
33,Candacia bradyi
35,Candacia ethiopica
37,Canthocalanus pauper
39,Centropages australiensis
41,Centropages bradyi
43,Centropages furcatus
46,Centropages orsinii
48,Calocalanus minutus
49,Calocalanus pavoninus
50,Calocalanus styliremis
52,Clausocalanus arcuicornis
54,Clausocalanus furcatus
58,Clytemnestra scutellata
64,Copilia quadrata
69,Cosmocalanus darwinii
71,Ctenocalanus vanus
73,Delibus nudus
75,Eucalanus elongatus
79,Euterpina acutifrons
83,Labidocera acuta
84,Lucicutia flavicornis
85,Macrosetella gracilis
87,Mecynocera clausi
90,Mesocalanus tenuicornis
92,Microsetella norvegica
94,Microsetella rosea
96,Nannocalanus minor
101,Oithona grp 1
103,Oithona grp 3
105,Oithona grp 2
108,Oncaea clevei
111,Oncaea media
113,Oncaea mediterranea
115,Oncaea venusta
117,Paracalanus aculeatus
119,Paracalanus indicus
122,Parvocalanus crassirostris
123,Pleuromamma borealis
125,Pleuromamma quadrungulata
126,Pleuromamma gracilis
128,Pontellina morii
130,Rhincalanus cornutus
132,Sapphirina angusta
133,Sapphirina auronitens
135,Sapphirina nigromaculata
136,Sapphirina opalina
137,Sapphirina stellata
138,Sapphirina ovatolanceolata/gemma
139,Scolecithrix danae
140,Subeucalanus subcrassus
141,Subeucalanus crassus
143,Temora discaudata
146,Temora stylifera
148,Temora turbinata
150,Temoropia mayumbaensis
152,Undinula vulgaris
228,Candacia catula
230,Candacia truncata
232,Clausocalanus parapergens
244,Euchaeta marina
249,Labidocera pavo
257,Pontellopsis krameri
259,Rhincalanus nasutus
261,Rhincalanus rostrifrons
265,Sapphirina scarlata
272,Copilia mirabilis
276,Oithona atlantica
277,Clausocalanus brevipes
279,Aetideus pseudarmatus
280,Calanus australis
282,Clausocalanus ingens
284,Aetideus acutus
288,Lubbockia squillimana
289,Oithona grp 4
290,Acartia sinjiensis
292,Clausocalanus pergens
295,Euchirella rostrata
296,Neocalanus tonsus
317,Labidocera cervi
320,Clausocalanus farrani/jobei
328,Corycaeus speciosus
329,Onychocorycaeus catus
330,Ditrichocorycaeus erythraeus
332,Metridia lucens
335,Urocorycaeus lautus
337,Pseudodiaptomus mertoni
339,Farranula gibbula
340,Corycaeus crassiusculus
342,Onychocorycaeus agilis
344,Subeucalanus monachus
345,Ditrichocorycaeus andrewsi
346,Ditrichocorycaeus dahli
347,Farranula concinna
353,Farranula curta
354,Clausocalanus mastigophorus
358,Onychocorycaeus ovalis
360,Ditrichocorycaeus asiaticus
364,Tortanus barbatus
373,Calanoides patagoniensis
376,Ditrichocorycaeus subtilis
384,Agetus typicus
441,Pleuromamma piseki
447,Farranula rostrata
451,Corycaeus clausi
453,Pleuromamma abdominalis
455,Candacia discaudata
495,Agetus limbatus
500,Onychocorycaeus latus
501,Euchaeta concinna
508,Agetus flaccus
513,Onychocorycaeus pacificus
519,Pontellina plumata
522,Labidocera kroyeri
528,Monocorycaeus robustus
529,Labidocera minuta
530,Centropages gracilis
537,Ditrichocorycaeus tenuis
539,Heterorhabdus papilliger
540,Pleuromamma xiphias
542,Euchaeta indica
546,Onychocorycaeus pumilus
547,Urocorycaeus longistylis
555,Onychocorycaeus giesbrechti
556,Ditrichocorycaeus aucklandicus
558,Pareucalanus langae
565,Centropages calaninus
572,Pseudodiaptomus aurivillii
575,Pseudodiaptomus cornutus
580,Subeucalanus pileatus
581,Copilia hendorffi
585,Paracalanus parvus
587,Centropages elegans
591,Euchaeta acuta
597,Oithona plumifera
602,Oncaea scottodicarloi
605,Farranula gracilis
613,Subeucalanus mucronatus
618,Farranula carinata
627,Clausocalanus paululus
628,Triconia conifera
629,Subeucalanus subtenuis
633,Oithona grp 5
636,Oithona grp 6
