site_id,latitude,longitude
1,-37.5,150.18085273941017
2,-37,150.37686614859015
3,-36.5,150.554775959811
4,-36,150.73227541121383
5,-35.5,150.9123515299771
6,-35,151.07000692525463
7,-34.5,151.18915597058617
8,-34,151.48534523528852
9,-33.5,151.88134755818473
10,-33,152.30000336622822
11,-32.5,152.72376494022575
12,-32,152.96515737010165
13,-31.5,153.14609715355056
14,-31,153.3048396065472
15,-30.5,153.44137896479296
16,-30,153.560935154776
17,-29.5,153.66523793862618
18,-29,153.76278147408632
19,-28.5,153.8012262524746
20,-28,153.77427705534654
21,-27.5,153.71885711871656
22,-27,153.57620784368694
